epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.651,1.35056,1.03892,1.21277,0.87559,0.74774,0.83261,0.51924,1.27267,0.70384,1.07636,0.00332935,0.00332935,0.00332935
2,514.393,1.24463,0.77689,1.09177,0.86397,0.74065,0.82841,0.52406,1.27032,0.74661,1.1022,0.00653076,0.00653076,0.00653076
3,767.652,1.29288,0.83775,1.10961,0.86831,0.72425,0.80682,0.50452,1.31192,0.79606,1.12492,0.00960018,0.00960018,0.00960018
4,1019.52,1.31817,0.87453,1.13272,0.87198,0.73278,0.81227,0.50432,1.30949,0.78029,1.1281,0.009406,0.009406,0.009406
5,1271.18,1.28988,0.83408,1.11695,0.87478,0.73531,0.81945,0.5216,1.28057,0.74422,1.10477,0.009208,0.009208,0.009208
6,1523.13,1.26948,0.80058,1.10424,0.88923,0.75609,0.84231,0.54183,1.24902,0.70064,1.09452,0.00901,0.00901,0.00901
7,1775.28,1.25201,0.77493,1.09772,0.8827,0.75357,0.8374,0.53714,1.25168,0.70105,1.09314,0.008812,0.008812,0.008812
8,2027.36,1.2324,0.7513,1.08944,0.89431,0.77075,0.85426,0.55237,1.23646,0.66252,1.0876,0.008614,0.008614,0.008614
9,2278.9,1.22508,0.73473,1.0866,0.88466,0.78272,0.85794,0.55814,1.21515,0.64691,1.0794,0.008416,0.008416,0.008416
10,2531.1,1.21724,0.72321,1.0772,0.89549,0.78221,0.86147,0.5646,1.21038,0.62549,1.07058,0.008218,0.008218,0.008218
11,2783.27,1.20445,0.71255,1.07454,0.89367,0.78891,0.86405,0.5679,1.19882,0.62563,1.06646,0.00802,0.00802,0.00802
12,3035.79,1.19947,0.69548,1.06852,0.893,0.79093,0.86875,0.56752,1.19858,0.62056,1.06349,0.007822,0.007822,0.007822
13,3288.02,1.1943,0.69156,1.06734,0.88755,0.79619,0.87097,0.57361,1.18967,0.61247,1.06041,0.007624,0.007624,0.007624
14,3540.15,1.17772,0.67639,1.06212,0.89321,0.79507,0.87217,0.57817,1.18072,0.59849,1.05663,0.007426,0.007426,0.007426
15,3791.11,1.18196,0.66909,1.06178,0.89423,0.79872,0.87581,0.57668,1.18832,0.59425,1.06493,0.007228,0.007228,0.007228
16,4042.93,1.17589,0.66421,1.06258,0.88676,0.81583,0.88071,0.57993,1.18175,0.57886,1.05847,0.00703,0.00703,0.00703
17,4294.34,1.16606,0.6553,1.05582,0.88653,0.81124,0.88011,0.58247,1.17356,0.57517,1.04659,0.006832,0.006832,0.006832
18,4545.91,1.16619,0.6532,1.05501,0.89021,0.80543,0.87977,0.58161,1.17355,0.5783,1.05178,0.006634,0.006634,0.006634
19,4796.81,1.16067,0.64426,1.05229,0.88622,0.81202,0.88165,0.58524,1.16784,0.56787,1.0467,0.006436,0.006436,0.006436
20,5047.99,1.15861,0.64066,1.05079,0.8909,0.81066,0.88257,0.58911,1.16018,0.55906,1.04495,0.006238,0.006238,0.006238
21,5299.33,1.15043,0.6319,1.04434,0.89381,0.81649,0.88604,0.59089,1.15652,0.56043,1.04522,0.00604,0.00604,0.00604
22,5550.61,1.14936,0.63021,1.04676,0.8926,0.81667,0.88693,0.59024,1.1598,0.5504,1.0419,0.005842,0.005842,0.005842
23,5801.78,1.14427,0.62107,1.04715,0.89258,0.81327,0.88546,0.5932,1.15597,0.54652,1.04791,0.005644,0.005644,0.005644
24,6054.1,1.13847,0.61577,1.04248,0.89529,0.81688,0.88926,0.59401,1.15088,0.54395,1.04217,0.005446,0.005446,0.005446
25,6307.72,1.13805,0.607,1.04307,0.88672,0.82319,0.89132,0.59568,1.1506,0.53827,1.04301,0.005248,0.005248,0.005248
26,6559.57,1.12971,0.60701,1.03574,0.8855,0.82597,0.89037,0.59569,1.15021,0.53844,1.03724,0.00505,0.00505,0.00505
27,6810.98,1.12641,0.59915,1.0373,0.88531,0.83118,0.89122,0.596,1.15009,0.53221,1.03626,0.004852,0.004852,0.004852
28,7063.28,1.12618,0.59629,1.0307,0.89726,0.82736,0.89372,0.59791,1.14536,0.5296,1.02955,0.004654,0.004654,0.004654
29,7315.23,1.12296,0.59165,1.03088,0.89464,0.82814,0.8954,0.60065,1.14418,0.52456,1.03385,0.004456,0.004456,0.004456
30,7566.84,1.11185,0.58492,1.03018,0.89217,0.83306,0.8969,0.60016,1.1444,0.52195,1.03459,0.004258,0.004258,0.004258
31,7818.61,1.11256,0.58147,1.02861,0.89319,0.83144,0.89771,0.60193,1.14248,0.51959,1.0293,0.00406,0.00406,0.00406
32,8070.73,1.11819,0.58025,1.02834,0.89209,0.83591,0.89788,0.60297,1.13743,0.5133,1.02791,0.003862,0.003862,0.003862
33,8322.6,1.10566,0.57099,1.02845,0.88939,0.83536,0.89729,0.60295,1.13986,0.51467,1.03358,0.003664,0.003664,0.003664
34,8574.1,1.10173,0.57244,1.02369,0.89188,0.83378,0.89891,0.6033,1.13967,0.51416,1.03186,0.003466,0.003466,0.003466
35,8825.65,1.09589,0.5612,1.0223,0.89882,0.82814,0.89776,0.6036,1.13683,0.51091,1.02723,0.003268,0.003268,0.003268
36,9077.26,1.09545,0.56224,1.01799,0.89063,0.83406,0.89913,0.60581,1.13601,0.50621,1.02853,0.00307,0.00307,0.00307
37,9327.89,1.09011,0.55307,1.01967,0.90074,0.82532,0.89947,0.6054,1.13413,0.5054,1.03055,0.002872,0.002872,0.002872
38,9578.64,1.0925,0.55155,1.01806,0.89736,0.83086,0.89934,0.60491,1.13562,0.50467,1.03209,0.002674,0.002674,0.002674
39,9829.32,1.08487,0.54715,1.013,0.8962,0.83578,0.90005,0.60659,1.13334,0.50215,1.02525,0.002476,0.002476,0.002476
40,10080.7,1.08127,0.54356,1.01273,0.899,0.83228,0.90082,0.60671,1.13214,0.49987,1.02582,0.002278,0.002278,0.002278
41,10331.4,1.07325,0.50739,1.00516,0.89114,0.83698,0.90173,0.60739,1.13425,0.50073,1.0285,0.00208,0.00208,0.00208
42,10581.7,1.06621,0.50155,1.00407,0.89443,0.83,0.90029,0.60662,1.13594,0.50395,1.02931,0.001882,0.001882,0.001882
43,10830.8,1.06218,0.49167,1.00056,0.89514,0.83571,0.90172,0.60854,1.13365,0.50109,1.02842,0.001684,0.001684,0.001684
44,11080,1.05553,0.48959,0.9976,0.89446,0.83775,0.9012,0.609,1.1332,0.49999,1.02957,0.001486,0.001486,0.001486
45,11329.2,1.05103,0.48195,0.99267,0.90185,0.83494,0.90266,0.60951,1.13267,0.49787,1.02663,0.001288,0.001288,0.001288
46,11579.2,1.04986,0.47765,0.99238,0.8973,0.83558,0.90244,0.60845,1.13403,0.49805,1.02769,0.00109,0.00109,0.00109
47,11829.1,1.04278,0.46877,0.9913,0.89938,0.83404,0.90187,0.60862,1.13281,0.49993,1.02882,0.000892,0.000892,0.000892
48,12077.8,1.03802,0.46488,0.9897,0.89805,0.83212,0.90024,0.60802,1.1328,0.50052,1.02945,0.000694,0.000694,0.000694
49,12326.3,1.0339,0.46061,0.98936,0.8954,0.83377,0.90082,0.60854,1.13217,0.49856,1.02887,0.000496,0.000496,0.000496
50,12574.8,1.02832,0.45152,0.98496,0.89786,0.83221,0.901,0.60838,1.13322,0.49929,1.02853,0.000298,0.000298,0.000298
